model;recall;precision;mrr;hit;coverage;n_padded;k;n_exp
model1;0.09752632530819709;0.03411371237458193;0.08483835005574136;0.14715719063545152;0.07819810185804037;10;5;9
model2;0.09816053511705687;0.03143812709030101;0.07212931995540689;0.14046822742474915;0.060018714075658335;10;5;9
model3;0.10248939834422517;0.03411371237458194;0.07686733556298775;0.15719063545150502;0.06536559283518246;10;5;9
model4;0.09557045141053985;0.03411371237458193;0.07703455964325528;0.15384615384615385;0.06937575190482556;10;5;9
model5;0.08010620551151135;0.029431438127090308;0.07196209587513934;0.13043478260869565;0.05667691485095575;10;5;9
model6;0.10557697031536382;0.03678929765886286;0.09587513935340021;0.1605351170568562;0.06937575190482556;10;5;9
model7;0.09919762134205762;0.035451505016722396;0.09236343366778148;0.15384615384615385;0.0672370004010159;10;5;9
model1;0.09869007803790414;0.0334448160535117;0.0878483835005574;0.1505016722408027;0.075123646571314;10;5;10
model2;0.09813266443701227;0.032107023411371234;0.08049052396878482;0.14715719063545152;0.06763801630798022;10;5;10
model3;0.10225846985242713;0.032107023411371234;0.08149386845039018;0.15384615384615385;0.06429621708327764;10;5;10
model4;0.0939001001454944;0.0334448160535117;0.07926421404682271;0.14715719063545152;0.06590028071113488;10;5;10
model5;0.08077946576472737;0.02809364548494985;0.07647714604236344;0.13043478260869565;0.056409570912979545;10;5;10
model6;0.09097273397199705;0.0334448160535117;0.07346711259754735;0.14715719063545152;0.06536559283518246;10;5;10
model7;0.11355385587146825;0.04013377926421403;0.09849498327759196;0.1705685618729097;0.06857372009089693;10;5;10
model1;0.10393260019273284;0.03678929765886285;0.08065774804905237;0.15719063545150502;0.07672771019917124;12;5;1
model2;0.09395698872485904;0.032775919732441476;0.08606465997770345;0.14715719063545152;0.06950942387381366;12;5;1
model3;0.08620873722200177;0.030769230769230774;0.08076923076923076;0.13043478260869565;0.06229113754845609;12;5;1
model4;0.11173733537403399;0.03745819397993309;0.09102564102564102;0.1605351170568562;0.06603395268012298;12;5;1
model5;0.09024809629083765;0.031438127090301006;0.073355629877369;0.14046822742474915;0.05614222697500334;12;5;1
model6;0.09111208737222001;0.03344481605351169;0.07736900780379039;0.14046822742474915;0.06563293677315866;12;5;1
model7;0.0955524333195667;0.036789297658862866;0.08433667781493868;0.15384615384615385;0.0625584814864323;12;5;1
