t_id;t_date;c_id;recency;payment;month;dayofweek;item_code;category_code;method_code
437941.0;2017-04-04;215;99;6;4;2;323;6;1
437943.0;2017-04-04;216;99;6;4;2;324;2;1
437942.0;2017-04-04;107;99;5;4;2;325;3;1
437950.0;2017-04-04;217;99;2;4;2;62;1;1
437951.0;2017-04-04;218;99;4;4;2;326;10;1
437952.0;2017-04-04;218;99;2;4;2;196;11;1
437953.0;2017-04-04;218;99;1;4;2;327;11;1
437955.0;2017-04-04;163;99;10;4;2;328;3;1
437971.0;2017-04-04;220;99;3;4;2;329;6;3
437972.0;2017-04-04;221;99;4;4;2;330;5;1
437980.0;2017-04-04;222;99;2;4;2;331;10;1
437981.0;2017-04-04;222;99;3;4;2;259;10;1
437982.0;2017-04-04;223;99;7;4;2;332;2;3
437994.0;2017-04-04;129;99;16;4;2;333;6;1
437995.0;2017-04-04;224;99;6;4;2;334;2;1
437997.0;2017-04-04;225;99;3;4;2;316;11;1
437998.0;2017-04-04;225;99;3;4;2;57;11;1
437999.0;2017-04-04;225;99;1;4;2;198;11;1
438000.0;2017-04-04;225;99;2;4;2;335;11;1
438014.0;2017-04-04;226;99;4;4;2;336;6;1
438015.0;2017-04-04;226;99;3;4;2;67;2;1
438016.0;2017-04-04;226;99;10;4;2;337;2;1
438018.0;2017-04-04;226;99;2;4;2;62;1;1
438019.0;2017-04-04;227;99;9;4;2;149;6;1
438020.0;2017-04-04;228;99;2;4;2;338;8;1
438027.0;2017-04-04;18;99;6;4;2;26;2;1
438028.0;2017-04-04;18;99;1;4;2;339;11;1
438035.0;2017-04-04;18;99;4;4;2;340;3;1
438036.0;2017-04-04;18;99;4;4;2;341;3;1
438038.0;2017-04-04;18;99;5;4;2;342;2;1
438057.0;2017-04-04;85;99;105;4;2;343;12;2
438052.0;2017-04-04;229;99;1;4;2;99;8;1
438065.0;2017-04-05;230;98;3;4;3;57;11;6
438066.0;2017-04-05;230;98;3;4;3;344;11;6
438067.0;2017-04-05;230;98;3;4;3;345;11;6
438070.0;2017-04-05;231;98;1;4;3;346;5;1
438078.0;2017-04-05;232;98;6;4;3;65;2;1
438080.0;2017-04-05;232;98;6;4;3;347;6;1
438081.0;2017-04-05;232;98;20;4;3;348;12;1
438119.0;2017-04-05;233;98;26;4;3;349;11;1
438120.0;2017-04-05;234;98;3;4;3;350;4;1
438150.0;2017-04-05;12;98;2;4;3;13;5;1
438173.0;2017-04-05;235;98;1;4;3;91;1;1
438174.0;2017-04-05;235;98;5;4;3;305;9;1
438175.0;2017-04-05;235;98;2;4;3;351;10;1
438177.0;2017-04-05;236;98;4;4;3;181;8;1
438183.0;2017-04-05;12;98;6;4;3;278;2;1
