model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
3.0,lstm,32.0,500.0,0.6,0.001,2.0,0.3221936523914337
3.0,lstm,64.0,500.0,0.6,0.001,2.0,0.30819764733314514
3.0,lstm,64.0,200.0,0.6,0.001,1.0,0.3684661388397217
3.0,lstm,96.0,200.0,0.6,0.001,2.0,0.3553270399570465
3.0,lstm,128.0,300.0,0.6,0.001,2.0,0.331619530916214
3.0,lstm,128.0,100.0,0.6,0.001,2.0,0.3856041133403778
3.0,lstm,96.0,600.0,0.8,0.001,2.0,0.35389888286590576
3.0,lstm,32.0,100.0,0.8,0.001,2.0,0.3801770806312561
3.0,lstm,128.0,600.0,0.8,0.001,1.0,0.3544701635837555
3.0,lstm,32.0,200.0,0.6,0.001,1.0,0.3607540726661682
3.0,lstm,128.0,400.0,0.6,0.001,1.0,0.3101970851421356
3.0,lstm,64.0,100.0,0.6,0.001,2.0,0.3856041133403778
3.0,lstm,96.0,200.0,0.8,0.001,2.0,0.3876035511493683
3.0,lstm,32.0,200.0,0.8,0.001,2.0,0.3873178958892822
3.0,lstm,128.0,100.0,0.8,0.001,2.0,0.3884604275226593
3.0,lstm,96.0,300.0,0.6,0.001,1.0,0.3544701635837555
3.0,lstm,64.0,600.0,0.6,0.001,2.0,0.29620108008384705
3.0,lstm,64.0,300.0,0.8,0.001,2.0,0.3847472071647644
3.0,lstm,32.0,400.0,0.6,0.001,1.0,0.3333333432674408
3.0,lstm,96.0,400.0,0.8,0.001,1.0,0.3684661388397217
3.0,lstm,64.0,500.0,0.8,0.001,2.0,0.37046557664871216
3.0,lstm,128.0,500.0,0.8,0.001,1.0,0.37075120210647583
3.0,lstm,64.0,200.0,0.6,0.001,2.0,0.3784632980823517
3.0,lstm,96.0,400.0,0.6,0.001,2.0,0.3284775912761688
3.0,lstm,96.0,400.0,0.8,0.001,2.0,0.3801770806312561
3.0,lstm,64.0,300.0,0.6,0.001,1.0,0.34761497378349304
3.0,lstm,32.0,300.0,0.8,0.001,1.0,0.37989145517349243
3.0,lstm,64.0,200.0,0.8,0.001,2.0,0.39074549078941345
3.0,lstm,96.0,100.0,0.6,0.001,2.0,0.3956012427806854
3.0,lstm,128.0,400.0,0.8,0.001,2.0,0.3738931715488434
3.0,lstm,128.0,400.0,0.8,0.001,1.0,0.38160526752471924
3.0,lstm,96.0,500.0,0.8,0.001,1.0,0.3818908929824829
3.0,lstm,128.0,200.0,0.6,0.001,2.0,0.3684661388397217
3.0,lstm,32.0,100.0,0.6,0.001,1.0,0.39274492859840393
3.0,lstm,128.0,100.0,0.8,0.001,1.0,0.3764638602733612
3.0,lstm,32.0,400.0,0.8,0.001,2.0,0.3821765184402466
3.0,lstm,96.0,300.0,0.8,0.001,1.0,0.39160239696502686
3.0,lstm,64.0,600.0,0.6,0.001,1.0,0.31362468004226685
3.0,lstm,96.0,200.0,0.6,0.001,1.0,0.3636103868484497
3.0,lstm,96.0,500.0,0.8,0.001,2.0,0.37246501445770264
3.0,lstm,96.0,100.0,0.8,0.001,1.0,0.37989145517349243
3.0,lstm,128.0,200.0,0.6,0.001,1.0,0.3544701635837555
3.0,lstm,64.0,600.0,0.8,0.001,1.0,0.36875179409980774
3.0,lstm,64.0,100.0,0.8,0.001,1.0,0.38503286242485046
3.0,lstm,128.0,300.0,0.8,0.001,2.0,0.3910311460494995
3.0,lstm,128.0,200.0,0.8,0.001,1.0,0.38503286242485046
3.0,lstm,64.0,200.0,0.8,0.001,1.0,0.3918880224227905
3.0,lstm,32.0,300.0,0.6,0.001,1.0,0.34390175342559814
3.0,lstm,64.0,600.0,0.8,0.001,2.0,0.36132532358169556
3.0,lstm,96.0,600.0,0.8,0.001,1.0,0.3544701635837555
3.0,lstm,32.0,500.0,0.6,0.001,1.0,0.2967723608016968
3.0,lstm,32.0,200.0,0.8,0.001,1.0,0.3950299918651581
3.0,lstm,32.0,300.0,0.8,0.001,2.0,0.3813196122646332
3.0,lstm,32.0,600.0,0.6,0.001,1.0,0.2984861433506012
3.0,lstm,64.0,400.0,0.8,0.001,2.0,0.37903454899787903
3.0,lstm,32.0,500.0,0.8,0.001,1.0,0.37132248282432556
3.0,lstm,128.0,300.0,0.8,0.001,1.0,0.39331620931625366
3.0,lstm,128.0,400.0,0.6,0.001,2.0,0.3179091811180115
3.0,lstm,64.0,400.0,0.8,0.001,1.0,0.36960867047309875
3.0,lstm,32.0,300.0,0.6,0.001,2.0,0.3527563512325287
3.0,lstm,32.0,500.0,0.8,0.001,2.0,0.3479005992412567
3.0,lstm,32.0,600.0,0.6,0.001,2.0,0.2819194495677948
3.0,lstm,96.0,600.0,0.6,0.001,2.0,0.269351601600647
3.0,lstm,128.0,600.0,0.8,0.001,2.0,0.35132819414138794
3.0,lstm,96.0,300.0,0.8,0.001,2.0,0.39331620931625366
3.0,lstm,96.0,500.0,0.6,0.001,1.0,0.32904884219169617
3.0,lstm,64.0,300.0,0.8,0.001,1.0,0.37903454899787903
3.0,lstm,32.0,200.0,0.6,0.001,2.0,0.3764638602733612
3.0,lstm,128.0,500.0,0.6,0.001,1.0,0.2939160168170929
3.0,lstm,32.0,400.0,0.8,0.001,1.0,0.37589260935783386
3.0,lstm,64.0,500.0,0.8,0.001,1.0,0.3856041133403778
3.0,lstm,64.0,400.0,0.6,0.001,2.0,0.3021993637084961
3.0,lstm,128.0,600.0,0.6,0.001,2.0,0.27963438630104065
3.0,lstm,128.0,200.0,0.8,0.001,2.0,0.3947443664073944
3.0,lstm,32.0,600.0,0.8,0.001,2.0,0.36503857374191284
3.0,lstm,64.0,100.0,0.6,0.001,1.0,0.3744644522666931
3.0,lstm,96.0,300.0,0.6,0.001,2.0,0.34104540944099426
3.0,lstm,32.0,100.0,0.8,0.001,1.0,0.38360467553138733
3.0,lstm,64.0,400.0,0.6,0.001,1.0,0.3230505585670471
4.0,lstm,32.0,500.0,0.8,0.001,2.0,0.3673236072063446
4.0,lstm,128.0,100.0,0.8,0.001,2.0,0.37217938899993896
4.0,lstm,32.0,500.0,0.6,0.001,1.0,0.264495849609375
4.0,lstm,64.0,200.0,0.6,0.001,1.0,0.36875179409980774
4.0,lstm,128.0,400.0,0.6,0.001,2.0,0.31276777386665344
4.0,lstm,32.0,200.0,0.6,0.001,2.0,0.37532132863998413
4.0,lstm,96.0,300.0,0.8,0.001,2.0,0.38360467553138733
4.0,lstm,32.0,100.0,0.6,0.001,2.0,0.3913167715072632
4.0,lstm,128.0,400.0,0.8,0.001,1.0,0.37503570318222046
4.0,lstm,64.0,400.0,0.6,0.001,2.0,0.3119108974933624
4.0,lstm,64.0,300.0,0.8,0.001,1.0,0.38046273589134216
4.0,lstm,128.0,100.0,0.6,0.001,2.0,0.3801770806312561
4.0,lstm,128.0,500.0,0.8,0.001,2.0,0.3664667308330536
4.0,lstm,128.0,600.0,0.8,0.001,2.0,0.37989145517349243
4.0,lstm,32.0,200.0,0.6,0.001,1.0,0.3653241991996765
4.0,lstm,64.0,400.0,0.8,0.001,1.0,0.38331905007362366
4.0,lstm,128.0,100.0,0.6,0.001,1.0,0.3893173336982727
4.0,lstm,96.0,500.0,0.8,0.001,1.0,0.3738931715488434
4.0,lstm,32.0,500.0,0.6,0.001,2.0,0.30619823932647705
4.0,lstm,64.0,500.0,0.6,0.001,1.0,0.3113396167755127
4.0,lstm,32.0,100.0,0.8,0.001,1.0,0.3764638602733612
4.0,lstm,64.0,100.0,0.6,0.001,2.0,0.3784632980823517
4.0,lstm,128.0,500.0,0.8,0.001,1.0,0.37217938899993896
4.0,lstm,96.0,100.0,0.8,0.001,2.0,0.38046273589134216
4.0,lstm,128.0,400.0,0.6,0.001,1.0,0.3073407709598541
4.0,lstm,128.0,400.0,0.8,0.001,2.0,0.37532132863998413
4.0,lstm,128.0,300.0,0.6,0.001,1.0,0.35846900939941406
4.0,lstm,64.0,200.0,0.6,0.001,2.0,0.36960867047309875
4.0,lstm,64.0,500.0,0.8,0.001,2.0,0.3690374195575714
4.0,lstm,32.0,300.0,0.6,0.001,2.0,0.3404741585254669
4.0,lstm,64.0,400.0,0.8,0.001,2.0,0.3913167715072632
4.0,lstm,128.0,300.0,0.8,0.001,2.0,0.37874892354011536
4.0,lstm,32.0,600.0,0.6,0.001,2.0,0.29877176880836487
4.0,lstm,32.0,300.0,0.8,0.001,1.0,0.37332192063331604
4.0,lstm,64.0,200.0,0.8,0.001,2.0,0.3950299918651581
4.0,lstm,32.0,100.0,0.8,0.001,2.0,0.37332192063331604
4.0,lstm,32.0,400.0,0.8,0.001,2.0,0.3773207664489746
4.0,lstm,96.0,300.0,0.8,0.001,1.0,0.37960582971572876
4.0,lstm,32.0,400.0,0.6,0.001,2.0,0.31648099422454834
4.0,lstm,64.0,500.0,0.8,0.001,1.0,0.3647529184818268
4.0,lstm,96.0,300.0,0.6,0.001,2.0,0.35047128796577454
4.0,lstm,64.0,400.0,0.6,0.001,1.0,0.300199955701828
4.0,lstm,128.0,600.0,0.6,0.001,1.0,0.2967723608016968
4.0,lstm,64.0,600.0,0.8,0.001,2.0,0.3518994450569153
4.0,lstm,64.0,600.0,0.8,0.001,1.0,0.35561269521713257
4.0,lstm,32.0,200.0,0.8,0.001,2.0,0.37874892354011536
4.0,lstm,96.0,600.0,0.8,0.001,1.0,0.37075120210647583
4.0,lstm,32.0,600.0,0.6,0.001,1.0,0.27677807211875916
4.0,lstm,32.0,300.0,0.6,0.001,1.0,0.3104827105998993
4.0,lstm,128.0,500.0,0.6,0.001,1.0,0.29420164227485657
4.0,lstm,96.0,400.0,0.8,0.001,2.0,0.38331905007362366
4.0,lstm,96.0,400.0,0.8,0.001,1.0,0.3913167715072632
4.0,lstm,32.0,600.0,0.8,0.001,1.0,0.35675522685050964
4.0,lstm,32.0,400.0,0.8,0.001,1.0,0.36303913593292236
4.0,lstm,96.0,200.0,0.6,0.001,2.0,0.36218222975730896
4.0,lstm,96.0,500.0,0.6,0.001,2.0,0.2944872975349426
4.0,lstm,32.0,400.0,0.6,0.001,1.0,0.300199955701828
