model_num,rnn_style,emb_units,rnn_units,drop_rate,l_rate,replication,accuracy
4.0,lstm,32.0,300.0,0.8,0.001,2.0,0.3153035342693329
5.0,lstm,64.0,100.0,0.6,0.001,2.0,0.3242748975753784
5.0,lstm,64.0,100.0,0.8,0.001,2.0,0.32453620433807373
5.0,lstm,128.0,300.0,0.6,0.001,2.0,0.2916993200778961
4.0,lstm,32.0,500.0,0.6,0.001,1.0,0.27105653285980225
5.0,lstm,128.0,500.0,0.8,0.001,2.0,0.31661003828048706
4.0,lstm,96.0,600.0,0.6,0.001,1.0,0.2547687590122223
5.0,lstm,32.0,500.0,0.8,0.001,1.0,0.3168713450431824
5.0,lstm,128.0,500.0,0.6,0.001,2.0,0.2727114260196686
4.0,lstm,32.0,500.0,0.6,0.001,2.0,0.2853409945964813
5.0,lstm,96.0,400.0,0.8,0.001,2.0,0.3203553557395935
5.0,lstm,96.0,500.0,0.8,0.001,1.0,0.3086839020252228
4.0,lstm,64.0,600.0,0.8,0.001,2.0,0.31068721413612366
