model;n_padded;k;style;replication;mrr;hit;coverage
4;32;5;lstm;10;0.18532491530643674;0.22821065599014476;0.1999233128834356
5;32;5;lstm;1;0.18460630325428615;0.22821065599014476;0.21625766871165644
5;32;5;lstm;2;0.17743044861923837;0.22143517092700954;0.2200153374233129
5;32;5;lstm;3;0.18285083666974652;0.22913458577148138;0.21717791411042944
5;32;5;lstm;4;0.1868134688430347;0.2309824453341546;0.21855828220858894
5;32;5;lstm;5;0.18131608664408172;0.2208192177394518;0.22039877300613497
5;32;5;lstm;6;0.19560620059542158;0.23991376655374191;0.22124233128834356
5;32;5;lstm;7;0.18409300893132124;0.23159839852171235;0.21886503067484664
5;32;5;lstm;8;0.17862642439174625;0.22667077302125038;0.20705521472392638
5;32;5;lstm;9;0.18471409506210867;0.23313828149060672;0.22860429447852762
5;32;5;lstm;10;0.1886715942921672;0.23652602402217432;0.20506134969325154
6;32;5;lstm;1;0.18457550559490807;0.22482291345857716;0.2004601226993865
6;32;5;lstm;2;0.1822810799712556;0.2208192177394518;0.19401840490797545
6;32;5;lstm;3;0.1841032748177807;0.2297505389590391;0.19608895705521473
6;32;5;lstm;4;0.17484344523149575;0.21773945180166307;0.19716257668711656
6;32;5;lstm;5;0.17644492351914579;0.21897135817677857;0.2017638036809816
6;32;5;lstm;6;0.19556000410635474;0.24052971974129966;0.2057515337423313
6;32;5;lstm;7;0.1755004619648906;0.2232830304896828;0.18174846625766872
6;32;5;lstm;8;0.18552510009239306;0.2322143517092701;0.18673312883435583
6;32;5;lstm;9;0.18096704650446566;0.2242069602710194;0.18581288343558283
6;32;5;lstm;10;0.18507853403141364;0.23005851555281798;0.18957055214723925
7;32;5;lstm;1;0.1832306744687404;0.22728672620880813;0.20237730061349693
7;32;5;lstm;2;0.197685042603429;0.24946104096088698;0.20613496932515338
7;32;5;lstm;3;0.19923005851555317;0.24668925161687713;0.19923312883435582
7;32;5;lstm;4;0.19344523149573986;0.24545734524176163;0.210659509202454
7;32;5;lstm;5;0.1991530643671082;0.24976901755466585;0.19447852760736195
7;32;5;lstm;6;0.17946309413817896;0.2242069602710194;0.19716257668711656
7;32;5;lstm;7;0.19157170721691835;0.2389898367724053;0.19854294478527607
7;32;5;lstm;8;0.18356944872189723;0.2309824453341546;0.1986963190184049
7;32;5;lstm;9;0.18441125141155945;0.2356020942408377;0.20069018404907976
7;32;5;lstm;10;0.1959347089621189;0.2414536495226363;0.1959355828220859
