t_id;t_date;c_id;recency;payment;item_code;category_code;method_code
439094.0;2017-04-06;183;98;2;34;2;1
439096.0;2017-04-06;129;98;6;248;1;1
439098.0;2017-04-06;129;98;1;246;7;1
439130.0;2017-04-06;184;98;11;243;1;1
439135.0;2017-04-06;183;98;1;121;7;1
439136.0;2017-04-06;183;98;1;83;7;1
439137.0;2017-04-06;183;98;2;199;7;1
439138.0;2017-04-06;183;98;1;119;7;1
439140.0;2017-04-06;183;98;1;268;7;1
439141.0;2017-04-06;183;98;1;269;7;1
439142.0;2017-04-06;183;98;1;270;7;1
439143.0;2017-04-06;183;98;1;271;7;1
439144.0;2017-04-06;183;98;1;61;7;1
439145.0;2017-04-06;183;98;1;272;7;1
439146.0;2017-04-06;183;98;1;273;7;1
439147.0;2017-04-06;183;98;1;263;7;1
439148.0;2017-04-06;183;98;1;274;7;1
439149.0;2017-04-06;183;98;1;19;7;1
439152.0;2017-04-06;185;98;13;275;6;1
439153.0;2017-04-06;185;98;13;276;6;1
439154.0;2017-04-06;185;98;14;277;6;1
439156.0;2017-04-06;186;98;16;278;8;1
439166.0;2017-04-06;30;98;7;279;7;1
439187.0;2017-04-06;187;98;1;83;7;1
439188.0;2017-04-06;187;98;2;198;7;1
439189.0;2017-04-06;187;98;2;280;7;1
439190.0;2017-04-06;187;98;2;281;7;1
439191.0;2017-04-06;187;98;1;70;7;1
439199.0;2017-04-06;6;98;10;171;9;1
439194.0;2017-04-06;188;98;1;282;3;1
439195.0;2017-04-06;53;98;2;283;1;1
439196.0;2017-04-06;53;98;2;130;1;1
439198.0;2017-04-06;53;98;4;114;9;1
439209.0;2017-04-06;189;98;4;284;1;1
439213.0;2017-04-06;190;98;3;17;1;1
439226.0;2017-04-06;190;98;3;285;7;1
439223.0;2017-04-06;87;98;6;243;1;1
439225.0;2017-04-06;87;98;1;286;7;1
439227.0;2017-04-06;191;98;13;287;6;2
439228.0;2017-04-06;191;98;13;288;6;2
439229.0;2017-04-06;191;98;13;289;6;2
439230.0;2017-04-06;191;98;13;290;6;2
439231.0;2017-04-06;191;98;13;291;6;2
439232.0;2017-04-06;192;98;5;292;1;1
439290.0;2017-04-06;193;98;15;293;6;1
439291.0;2017-04-06;31;98;1;294;3;1
439293.0;2017-04-06;31;98;1;295;3;1
439294.0;2017-04-06;31;98;1;296;3;1
439299.0;2017-04-06;31;98;1;297;3;1
439300.0;2017-04-06;31;98;1;15;3;1
439320.0;2017-04-06;194;98;11;298;5;1
439323.0;2017-04-06;194;98;7;299;6;1
439322.0;2017-04-06;194;98;13;300;6;1
439325.0;2017-04-06;195;98;2;186;3;1
439324.0;2017-04-06;179;98;18;301;6;1
439331.0;2017-04-06;39;98;4;16;1;1
439341.0;2017-04-06;179;98;13;302;6;1
439401.0;2017-04-07;196;98;13;303;6;1
439402.0;2017-04-07;196;98;13;304;6;1
439403.0;2017-04-07;196;98;7;299;6;1
439405.0;2017-04-07;196;98;7;305;6;1
439409.0;2017-04-07;51;98;339;93;5;2
439491.0;2017-04-07;197;98;9;306;6;1
439492.0;2017-04-07;197;98;13;287;6;1
439493.0;2017-04-07;197;98;13;307;6;1
439502.0;2017-04-07;14;98;2;283;1;1
439503.0;2017-04-07;14;98;5;170;1;1
439507.0;2017-04-07;51;98;261;247;5;2
439509.0;2017-04-07;198;98;6;235;1;1
439513.0;2017-04-07;199;98;6;236;1;1
439515.0;2017-04-07;199;98;6;242;1;1
439533.0;2017-04-07;11;98;50;145;5;1
439536.0;2017-04-07;10;98;4;209;6;1
439558.0;2017-04-07;200;98;14;308;5;1
439564.0;2017-04-07;6;98;4;5;3;1
439565.0;2017-04-07;6;98;4;47;3;1
439569.0;2017-04-07;75;98;150;309;10;1
439570.0;2017-04-07;6;98;5;310;1;1
439577.0;2017-04-07;6;98;7;311;1;1
439581.0;2017-04-07;6;98;2;312;7;1
439582.0;2017-04-07;6;98;3;82;7;1
439583.0;2017-04-07;6;98;2;313;7;1
439590.0;2017-04-07;12;98;16;278;8;1
439588.0;2017-04-07;201;98;13;291;6;1
439589.0;2017-04-07;201;98;13;315;6;1
439593.0;2017-04-07;202;98;66;316;5;1
439592.0;2017-04-07;203;98;42;317;6;1
439600.0;2017-04-07;203;98;17;318;6;1
439609.0;2017-04-07;204;98;6;248;1;1
439622.0;2017-04-07;203;98;29;319;6;1
439628.0;2017-04-07;6;98;7;311;1;1
439636.0;2017-04-07;124;98;7;119;7;1
439640.0;2017-04-07;87;98;66;316;5;1
439653.0;2017-04-07;205;98;10;320;6;1
439654.0;2017-04-07;205;98;10;321;6;1
439656.0;2017-04-07;206;98;7;322;6;1
439658.0;2017-04-07;206;98;15;323;6;1
439659.0;2017-04-07;206;98;15;44;6;1
439670.0;2017-04-07;207;98;3;31;9;1
439671.0;2017-04-07;207;98;1;53;2;1
439708.0;2017-04-07;150;98;1;324;7;1
439712.0;2017-04-07;208;98;7;119;7;1
439721.0;2017-04-07;209;98;6;177;1;1
439748.0;2017-04-07;14;98;16;136;7;1
439741.0;2017-04-07;210;98;7;325;8;1
439742.0;2017-04-07;210;98;7;220;8;1
439743.0;2017-04-07;210;98;11;326;8;1
439749.0;2017-04-07;167;98;8;327;5;1
439757.0;2017-04-07;14;98;8;328;3;3
439766.0;2017-04-07;190;98;10;5;3;1
439780.0;2017-04-07;211;98;18;301;6;1
439782.0;2017-04-07;190;98;6;5;3;1
439781.0;2017-04-07;190;98;2;5;3;1
439787.0;2017-04-07;190;98;6;5;3;1
439791.0;2017-04-07;211;98;13;315;6;1
439792.0;2017-04-07;211;98;13;329;6;1
439797.0;2017-04-07;6;98;5;171;9;1
439798.0;2017-04-07;6;98;1;172;3;1
439827.0;2017-04-07;212;98;2;5;3;1
439828.0;2017-04-07;212;98;1;330;5;1
439829.0;2017-04-07;212;98;7;331;6;1
